"","upi_bank","cvol_mn","cval_cr","vol_mn","val_cr","month"
"281","IDFC Bank App",0.4,155.19,0.4,155.19,"Aug"
"282","IDFC Bank App",0.3,130.1,0.3,130.1,"Jul"
"283","IDFC Bank App",0.21,101.74,0.21,101.74,"Jun"
"284","IDFC Bank App",0.15,72.34,0.15,72.34,"May"
"285","IDFC Bank App",0.15,65.23,0.15,65.23,"Apr"
"286","IDFC Bank App",0.13,60.84,0.13,60.84,"Mar"
"287","IDFC Bank App",0.1,47.09,0.1,47.09,"Feb"
"288","IDFC Bank App",0.08,41.87,0.08,41.87,"Jan"
"289","India Post Payments Bank App",2.76,321.16,2.76,321.16,"Dec"
"290","India Post Payments Bank App",2.3,286.07,2.3,286.07,"Nov"
"291","India Post Payments Bank App",2.39,291.7,2.39,291.7,"Oct"
"292","India Post Payments Bank App",2.28,267.94,2.28,267.94,"Sep"
"293","India Post Payments Bank App",2,255.16,2,255.16,"Aug"
"294","India Post Payments Bank App",1.79,231.52,1.79,231.52,"Jul"
"295","India Post Payments Bank App",1.47,203.73,1.47,203.73,"Jun"
"296","India Post Payments Bank App",1.29,178.52,1.29,178.52,"May"
"297","India Post Payments Bank App",1.32,174.08,1.32,174.08,"Apr"
"298","India Post Payments Bank App",1.21,167.52,1.21,167.52,"Mar"
"299","India Post Payments Bank App",1.23,145.46,1.23,145.46,"Feb"
"300","India Post Payments Bank App",1.08,123.25,1.08,123.25,"Jan"
"301","Indian Bank App",0.12,42.71,0.12,42.71,"Dec"
"302","Indian Bank App",0.09,37.77,0.09,37.77,"Nov"
"303","Indian Bank App",0.09,38.84,0.09,38.84,"Oct"
"304","Indian Bank App",0.08,35.34,0.08,35.34,"Sep"
"305","Indian Bank App",0.08,34.46,0.08,34.46,"Aug"
"306","Indian Bank App",0.08,33.52,0.08,33.52,"Jul"
"307","Indian Bank App",0.05,25.18,0.05,25.18,"Jun"
"308","Indian Bank App",0.06,26.84,0.06,26.84,"May"
"309","Indian Bank App",0.06,24.13,0.06,24.13,"Apr"
"310","Indian Bank App",0.09,34.1,0.09,34.1,"Mar"
"311","Indian Bank App",0.05,12.38,0.05,12.38,"Feb"
"312","Indian Bank App",0.02,5.77,0.02,5.77,"Jan"
"313","IndusInd Bank App",1.19,1269.16,1.19,1269.16,"Dec"
"314","IndusInd Bank App",1.1,1407.31,1.1,1407.31,"Nov"
"315","IndusInd Bank App",1.05,1014.56,1.05,1014.56,"Oct"
"316","IndusInd Bank App",0.33,532.43,0.33,532.43,"Sep"
"317","IndusInd Bank App",0.52,570.21,0.52,570.21,"Aug"
"318","IndusInd Bank App",2.18,458.06,2.18,458.06,"Jul"
"319","IndusInd Bank App",2.18,421.41,2.18,421.41,"Jun"
"320","IndusInd Bank App",3.12,433.37,3.12,433.37,"May"
"321","IndusInd Bank App",4.2,654.49,4.2,654.49,"Apr"
"322","IndusInd Bank App",4.49,541.66,4.49,541.66,"Mar"
"323","IndusInd Bank App",2.16,379.54,2.16,379.54,"Feb"
"324","IndusInd Bank App",1.82,367.77,1.82,367.77,"Jan"
"325","Jio Payments Bank App",1.65,100.19,1.65,100.19,"Dec"
"326","Jio Payments Bank App",1.38,89.68,1.38,89.68,"Nov"
"327","Jio Payments Bank App",1.33,85.75,1.33,85.75,"Oct"
"328","Jio Payments Bank App",1.24,74.89,1.24,74.89,"Sep"
"329","Jio Payments Bank App",1.06,68.16,1.06,68.16,"Aug"
"330","Jio Payments Bank App",1.03,63.44,1.03,63.44,"Jul"
"331","Jio Payments Bank App",0.8,52.08,0.8,52.08,"Jun"
"332","Jio Payments Bank App",0.68,40.92,0.68,40.92,"May"
"333","Jio Payments Bank App",0.57,35.43,0.57,35.43,"Apr"
"334","Jio Payments Bank App",0.47,32.14,0.47,32.14,"Mar"
"335","Jio Payments Bank App",0.36,25.76,0.36,25.76,"Feb"
"336","Jio Payments Bank App",0.41,27.91,0.41,27.91,"Jan"
"337","Karnataka Bank App",0.25,30.03,0.25,30.03,"Dec"
"338","Karnataka Bank App",0.22,27.68,0.22,27.68,"Nov"
"339","Karnataka Bank App",0.2,25.71,0.2,25.71,"Oct"
"340","Karnataka Bank App",0.16,18.64,0.16,18.64,"Sep"
"341","Karnataka Bank App",0.12,15.38,0.12,15.38,"Aug"
"342","Karnataka Bank App",0.13,18.45,0.13,18.45,"Jul"
"343","Karnataka Bank App",0.12,22.51,0.12,22.51,"Jun"
"344","Karnataka Bank App",0.1,20.74,0.1,20.74,"May"
"345","Karnataka Bank App",0.12,21.13,0.12,21.13,"Apr"
"346","Karnataka Bank App",0.12,20.89,0.12,20.89,"Mar"
"347","Karnataka Bank App",0.09,16.41,0.09,16.41,"Feb"
"348","Karnataka Bank App",0.07,15.35,0.07,15.35,"Jan"
"349","Karur Vysya Bank App",0.04,17.44,0.04,17.44,"Dec"
"350","Karur Vysya Bank App",0.03,15.46,0.03,15.46,"Nov"
"351","Karur Vysya Bank App",0.03,15.4,0.03,15.4,"Oct"
"352","Karur Vysya Bank App",0.03,14.14,0.03,14.14,"Sep"
"353","Karur Vysya Bank App",0.03,15.25,0.03,15.25,"Aug"
"354","Karur Vysya Bank App",0.03,14.6,0.03,14.6,"Jul"
"355","Karur Vysya Bank App",0.03,12.59,0.03,12.59,"Jun"
"356","Karur Vysya Bank App",0.02,11.59,0.02,11.59,"May"
"357","Karur Vysya Bank App",0.03,13.08,0.03,13.08,"Apr"
"358","Karur Vysya Bank App",0.03,15.14,0.03,15.14,"Mar"
"359","Karur Vysya Bank App",0.03,13.87,0.03,13.87,"Feb"
"360","Karur Vysya Bank App",0.03,13.14,0.03,13.14,"Jan"
"361","Kotak Mahindra Bank Apps",6.39,1168.93,6.39,1168.93,"Dec"
"362","Kotak Mahindra Bank Apps",5.78,1035.67,5.78,1035.67,"Nov"
"363","Kotak Mahindra Bank Apps",5.38,944.5,5.38,944.5,"Oct"
"364","Kotak Mahindra Bank Apps",4.31,771.05,4.31,771.05,"Sep"
"365","Kotak Mahindra Bank Apps",3.98,723.21,3.98,723.21,"Aug"
"366","Kotak Mahindra Bank Apps",3.46,642.53,3.46,642.53,"Jul"
"367","Kotak Mahindra Bank Apps",2.8,535.98,2.8,535.98,"Jun"
"368","Kotak Mahindra Bank Apps",2.37,427.4,2.37,427.4,"May"
"369","Kotak Mahindra Bank Apps",2.13,381.37,2.13,381.37,"Apr"
"370","Kotak Mahindra Bank Apps",2.26,397.99,2.26,397.99,"Mar"
"371","Kotak Mahindra Bank Apps",1.95,347.66,1.95,347.66,"Feb"
"372","Kotak Mahindra Bank Apps",1.88,343.38,1.88,343.38,"Jan"
"373","MakeMy Trip",0.07,22.3,0.07,22.3,"Dec"
"374","MakeMy Trip",0.12,45.04,0.12,45.04,"Nov"
"375","MakeMy Trip",0.13,48.4,0.13,48.4,"Oct"
"376","MakeMy Trip",0.08,25.67,0.08,25.67,"Sep"
"377","MakeMy Trip",0.08,25.28,0.08,25.28,"Aug"
"378","MakeMy Trip",0.08,29.31,0.08,29.31,"Jul"
"379","MakeMy Trip",0.06,22.16,0.06,22.16,"Jun"
"380","MakeMy Trip",0.03,11.47,0.03,11.47,"May"
"381","MakeMy Trip",0.08,26.08,0.08,26.08,"Apr"
"382","MakeMy Trip",0.09,31.2,0.09,31.2,"Mar"
"383","MakeMy Trip",0.12,44.08,0.12,44.08,"Feb"
"384","MakeMy Trip",0.01,3.95,0.01,3.95,"Jan"
"385","MI Pay",0.31,43.97,0.31,43.97,"Dec"
"386","MI Pay",0.33,47.27,0.33,47.27,"Nov"
"387","MI Pay",0.37,54.77,0.37,54.77,"Oct"
"388","MI Pay",0.36,51.29,0.36,51.29,"Sep"
"389","MI Pay",0.34,50.26,0.34,50.26,"Aug"
"390","MI Pay",0.34,53.34,0.34,53.34,"Jul"
"391","MI Pay",0.36,56.69,0.36,56.69,"Jun"
"392","MI Pay",0.37,55.17,0.37,55.17,"May"
"393","MI Pay",0.38,58.08,0.38,58.08,"Apr"
"394","MI Pay",0.42,64.65,0.42,64.65,"Mar"
"395","MI Pay",0.4,59.91,0.4,59.91,"Feb"
"396","MI Pay",0.44,62.81,0.44,62.81,"Jan"
"397","Mobikwik",4.24,985.86,4.24,985.86,"Dec"
"398","Mobikwik",5.18,1478.95,5.18,1478.95,"Nov"
"399","Mobikwik",4.08,1070.32,4.08,1070.32,"Oct"
"400","Mobikwik",3.2,687.94,3.2,687.94,"Sep"
"401","Mobikwik",2.59,418.04,2.59,418.04,"Aug"
"402","Mobikwik",2.8,402.42,2.8,402.42,"Jul"
"403","Mobikwik",3.21,535.12,3.21,535.12,"Jun"
"404","Mobikwik",3.18,467.11,3.18,467.11,"May"
"405","Mobikwik",2.09,254.32,2.09,254.32,"Apr"
"406","Mobikwik",2.22,315.59,2.22,315.59,"Mar"
"407","Mobikwik",1.92,216.94,1.92,216.94,"Feb"
"408","Mobikwik",1.94,253.16,1.94,253.16,"Jan"
"409","Paytm Payments Bank App",612.71,71874.13,706.37,88094.49,"Dec"
"410","Paytm Payments Bank App",543.71,66920.55,631.3,81403.37,"Nov"
"411","Paytm Payments Bank App",542.57,64727.41,632.18,80508.04,"Oct"
"412","Paytm Payments Bank App",462.71,53793.06,543.55,61417.53,"Sep"
"413","Paytm Payments Bank App",423.63,50021.4,498.65,56319.62,"Aug"
"414","Paytm Payments Bank App",387.85,46406.52,454.06,51694.41,"Jul"
"415","Paytm Payments Bank App",326.53,40614.09,383.05,44981.11,"Jun"
"416","Paytm Payments Bank App",290.69,35715.48,343.81,43741.16,"May"
"417","Paytm Payments Bank App",320.78,36859.2,372.7,41469.53,"Apr"
"418","Paytm Payments Bank App",344.99,38653.06,401.16,43221.25,"Mar"
"419","Paytm Payments Bank App",290.03,34405.44,340.71,38493.52,"Feb"
"420","Paytm Payments Bank App",281.18,33909.5,332.69,37845.76,"Jan"
"421","PhonePe",2077.6,394565.58,2077.6,394565.58,"Dec"
"422","PhonePe",1911.21,365044.32,1911.21,365044.32,"Nov"
"423","PhonePe",1937.57,365845.39,1937.57,365845.39,"Oct"
"424","PhonePe",1653.19,306437.37,1653.19,306437.37,"Sep"
"425","PhonePe",1622.95,301644.8,1622.95,301644.8,"Aug"
"426","PhonePe",1492.09,288573,1492.09,288572.9,"Jul"
"427","PhonePe",1292.71,262565.88,1292.71,262565.88,"Jun"
"428","PhonePe",1149.84,234123.57,1149.84,234123.57,"May"
"429","PhonePe",1189.89,234023.33,1189.89,234023.33,"Apr"
"430","PhonePe",1199.51,231412.33,1199.51,231412.33,"Mar"
"431","PhonePe",975.53,189517.82,975.53,189517.82,"Feb"
"432","PhonePe",968.72,191973.77,968.72,191973.77,"Jan"
"433","Punjab National Bank App",0.07,33.76,0.07,33.76,"Dec"
"434","Punjab National Bank App",0.07,31.14,0.07,31.14,"Nov"
"435","Punjab National Bank App",0.08,32.06,0.08,32.06,"Oct"
"436","Punjab National Bank App",0.07,25.07,0.07,25.07,"Sep"
"437","Punjab National Bank App",0.04,15.28,0.04,15.28,"Aug"
"438","Punjab National Bank App",0.02,8.86,0.02,8.86,"Jul"
"439","Punjab National Bank App",0.08,41.1,0.08,41.1,"Jun"
"440","Punjab National Bank App",0.11,55.51,0.11,55.51,"May"
"441","Punjab National Bank App",0.12,63.07,0.12,63.07,"Apr"
"442","Punjab National Bank App",0.14,72.25,0.14,72.25,"Mar"
"443","Punjab National Bank App",0.13,62.93,0.13,62.93,"Feb"
"444","Punjab National Bank App",0.13,64.68,0.13,64.68,"Jan"
"445","RBL Bank App",0.35,102.17,0.35,102.17,"Dec"
"446","RBL Bank App",0.25,81.95,0.25,81.95,"Nov"
"447","RBL Bank App",0.22,84.08,0.22,84.08,"Oct"
"448","RBL Bank App",0.17,65.95,0.17,65.95,"Sep"
"449","RBL Bank App",0.16,70.24,0.16,70.24,"Aug"
"450","RBL Bank App",0.15,68.54,0.15,68.54,"Jul"
"451","RBL Bank App",0.13,61.95,0.13,61.95,"Jun"
"452","RBL Bank App",0.12,56.21,0.12,56.21,"May"
"453","RBL Bank App",0.13,58.08,0.13,58.08,"Apr"
"454","RBL Bank App",0.14,59.94,0.14,59.94,"Mar"
"455","RBL Bank App",0.12,49.4,0.12,49.4,"Feb"
"456","RBL Bank App",0.12,48.58,0.12,48.58,"Jan"
"457","Samsung Pay",3.21,436.3,3.21,436.3,"Dec"
"458","Samsung Pay",2.8,412.13,2.8,412.13,"Nov"
"459","Samsung Pay",2.81,428.41,2.81,428.41,"Oct"
"460","Samsung Pay",2.37,371.1,2.37,371.1,"Sep"
"461","Samsung Pay",2.25,372.08,2.25,372.08,"Aug"
"462","Samsung Pay",2.02,367.67,2.02,367.67,"Jul"
"463","Samsung Pay",1.64,331.04,1.64,331.04,"Jun"
"464","Samsung Pay",1.36,302.68,1.36,302.68,"May"
"465","Samsung Pay",1.62,312.93,1.62,312.93,"Apr"
"466","Samsung Pay",1.83,326.96,1.83,326.96,"Mar"
"467","Samsung Pay",1.65,296.08,1.65,296.08,"Feb"
"468","Samsung Pay",1.67,314.07,1.67,314.07,"Jan"
"469","South Indian Bank App",0.13,39.92,0.13,39.92,"Dec"
"470","South Indian Bank App",0.11,36.91,0.11,36.91,"Nov"
"471","South Indian Bank App",0.11,37.4,0.11,37.4,"Oct"
"472","South Indian Bank App",0.09,31.18,0.09,31.18,"Sep"
"473","South Indian Bank App",0.09,31.69,0.09,31.69,"Aug"
"474","South Indian Bank App",0.08,28.23,0.08,28.23,"Jul"
"475","South Indian Bank App",0.06,24.3,0.06,24.3,"Jun"
"476","South Indian Bank App",0.05,19.67,0.05,19.67,"May"
"477","South Indian Bank App",0.07,23.53,0.07,23.53,"Apr"
"478","South Indian Bank App",0.07,25.5,0.07,25.5,"Mar"
"479","South Indian Bank App",0.06,22.61,0.06,22.61,"Feb"
"480","South Indian Bank App",0.06,22.77,0.06,22.77,"Jan"
"481","Standard Chartered Bank App",0.1,60.26,0.1,60.26,"Dec"
"482","Standard Chartered Bank App",0.09,53.87,0.09,53.87,"Nov"
"483","Standard Chartered Bank App",0.1,56.38,0.1,56.38,"Oct"
"484","Standard Chartered Bank App",0.08,45.86,0.08,45.86,"Sep"
"485","Standard Chartered Bank App",0.08,45.31,0.08,45.31,"Aug"
"486","Standard Chartered Bank App",0.08,46.29,0.08,46.29,"Jul"
"487","Standard Chartered Bank App",0.06,39.42,0.06,39.42,"Jun"
"488","Standard Chartered Bank App",0.06,36.73,0.06,36.73,"May"
"489","Standard Chartered Bank App",0.06,33.32,0.06,33.32,"Apr"
"490","Standard Chartered Bank App",0.05,30.66,0.05,30.66,"Mar"
"491","Standard Chartered Bank App",0.05,27.11,0.05,27.11,"Feb"
"492","Standard Chartered Bank App",0.05,27.86,0.05,27.86,"Jan"
"493","State Bank of India Apps",3.63,1961.7,3.63,1961.72,"Dec"
"494","State Bank of India Apps",3.72,1990.21,3.72,1990.21,"Nov"
"495","State Bank of India Apps",3.98,2089.18,3.98,2089.18,"Oct"
"496","State Bank of India Apps",3.77,1874.58,3.77,1874.58,"Sep"
"497","State Bank of India Apps",3.69,1905.52,3.69,1905.52,"Aug"
"498","State Bank of India Apps",3.55,1908.2,3.55,1908.2,"Jul"
"499","State Bank of India Apps",3.43,1978.61,3.43,1978.61,"Jun"
"500","State Bank of India Apps",3.69,2079.32,3.69,2079.32,"May"
"501","State Bank of India Apps",4.14,2359.08,4.14,2359.08,"Apr"
"502","State Bank of India Apps",4.55,2578.38,4.55,2578.38,"Mar"
"503","State Bank of India Apps",4.13,2273.77,4.13,2273.77,"Feb"
"504","State Bank of India Apps",4.29,2358.82,4.29,2358.82,"Jan"
"505","UCO Bank App",0.14,33.49,0.14,33.49,"Dec"
"506","UCO Bank App",0.12,30.41,0.12,30.41,"Nov"
"507","UCO Bank App",0.11,27.95,0.11,27.95,"Oct"
"508","UCO Bank App",0.1,23.44,0.1,23.44,"Sep"
"509","UCO Bank App",0.09,21.64,0.09,21.64,"Aug"
"510","UCO Bank App",0.08,22.5,0.08,22.5,"Jul"
"511","UCO Bank App",0.09,20.8,0.09,20.8,"Jun"
"512","UCO Bank App",0.08,19.5,0.08,19.5,"May"
"513","UCO Bank App",0.07,16.17,0.07,16.17,"Apr"
"514","UCO Bank App",0.07,16.08,0.07,16.08,"Mar"
"515","UCO Bank App",0.06,13.69,0.06,13.69,"Feb"
"516","UCO Bank App",0.05,14.12,0.05,14.12,"Jan"
"517","Ultracash",1.96,178.99,1.96,178.99,"Dec"
"518","Ultracash",2.13,162.44,2.13,162.44,"Nov"
"519","Ultracash",2.32,170.32,2.32,170.32,"Oct"
"520","Ultracash",2.02,163.57,2.02,163.57,"Sep"
"521","Ultracash",1.66,161.92,1.66,161.92,"Aug"
"522","Ultracash",1.45,158.45,1.45,158.45,"Jul"
"523","Ultracash",1.19,148.09,1.19,148.09,"Jun"
"524","Ultracash",1.15,142.92,1.15,142.92,"May"
"525","Ultracash",1.49,178.72,1.49,178.72,"Apr"
"526","Ultracash",1.33,158.23,1.33,158.23,"Mar"
"527","Ultracash",0.89,118.31,0.89,118.31,"Feb"
"528","Ultracash",0.75,120.28,0.75,120.28,"Jan"
"529","Union Bank Apps",0.36,167.6,0.36,167.6,"Dec"
"530","Union Bank Apps",0.43,178.53,0.43,178.53,"Nov"
"531","Union Bank Apps",0.66,223.98,0.66,223.98,"Oct"
"532","Union Bank Apps",0.41,155.2,0.41,155.2,"Sep"
"533","Union Bank Apps",0.37,150.94,0.37,150.94,"Aug"
"534","Union Bank Apps",0.33,137.37,0.33,137.37,"Jul"
"535","Union Bank Apps",0.29,128.37,0.29,128.37,"Jun"
"536","Union Bank Apps",0.28,110.65,0.28,110.65,"May"
"537","Union Bank Apps",0.34,135.79,0.34,135.79,"Apr"
"538","Union Bank Apps",0.38,144.93,0.38,144.93,"Mar"
"539","Union Bank Apps",0.32,119.4,0.32,119.4,"Feb"
"540","Union Bank Apps",0.24,99.94,0.24,99.94,"Jan"
"541","Yes Bank Apps",24.88,5689.57,25.14,5689.75,"Dec"
"542","Yes Bank Apps",24.13,6170.96,24.34,6171.08,"Nov"
"543","Yes Bank Apps",28.32,7660.21,28.41,7660.27,"Oct"
"544","Yes Bank Apps",23.02,4994.32,23.03,4994.33,"Sep"
"545","Yes Bank Apps",24.34,5702.87,24.35,5702.87,"Aug"
"546","Yes Bank Apps",25.94,4811.73,25.94,4811.73,"Jul"
"547","Yes Bank Apps",24.72,5227.04,24.72,5227.04,"Jun"
"548","Yes Bank Apps",21.08,4486.54,21.08,4486.54,"May"
"549","Yes Bank Apps",22.81,5120.17,22.81,5120.17,"Apr"
"550","Yes Bank Apps",29.14,4831.58,29.14,4831.58,"Mar"
"551","Yes Bank Apps",29.34,3396.01,29.34,3396.01,"Feb"
"552","Yes Bank Apps",14.78,3207.95,14.78,3207.95,"Jan"
